"Guid","Community_Product_Image_URL__c","CurrencyIsoCode","Description","DisplayUrl","ExternalId","Family","IsActive","IsServer__c","Length__c","Name","ProductCode","Product_Image_Height__c","Product_Image_Width__c","Product_Line__c","Product_Picture_ID_URL__c","Product_Solution__c","Product_Type__c","QuantityUnitOfMeasure","SBQQ__AllocatePotOnOrders__c","SBQQ__AssetAmendmentBehavior__c","SBQQ__AssetConversion__c","SBQQ__BatchQuantity__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__BlockPricingField__c","SBQQ__ChargeType__c","SBQQ__Component__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationEvent__c","SBQQ__ConfigurationFieldSet__c","SBQQ__ConfigurationFields__c","SBQQ__ConfigurationFormTitle__c","SBQQ__ConfigurationType__c","SBQQ__ConfigurationValidator__c","SBQQ__ConfiguredCodePattern__c","SBQQ__ConfiguredDescriptionPattern__c","SBQQ__CostEditable__c","SBQQ__CostSchedule__c","SBQQ__CustomConfigurationPage__c","SBQQ__CustomConfigurationRequired__c","SBQQ__CustomerCommunityAvailability__c","SBQQ__DefaultPricingTable__c","SBQQ__DefaultQuantity__c","SBQQ__DescriptionLocked__c","SBQQ__DiscountCategory__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicPricingConstraint__c","SBQQ__EnableLargeConfiguration__c","SBQQ__ExcludeFromMaintenance__c","SBQQ__ExcludeFromOpportunity__c","SBQQ__ExternallyConfigurable__c","SBQQ__GenerateContractedPrice__c","SBQQ__HasConfigurationAttributes__c","SBQQ__HasConsumptionSchedule__c","SBQQ__Hidden__c","SBQQ__HidePriceInSearchResults__c","SBQQ__IncludeInMaintenance__c","SBQQ__NewQuoteGroup__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__OptionLayout__c","SBQQ__OptionSelectionMethod__c","SBQQ__Optional__c","SBQQ__PriceEditable__c","SBQQ__PricingGuidance__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__ProductPictureID__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__ReconfigurationDisabled__c","SBQQ__RenewalProduct__c","SBQQ__SortOrder__c","SBQQ__Specifications__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionConversion__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionTarget__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__TaxCode__c","SBQQ__Taxable__c","SBQQ__TermDiscountLevel__c","SBQQ__TermDiscountSchedule__c","SBQQ__UpgradeCredit__c","SBQQ__UpgradeRatio__c","SBQQ__UpgradeSource__c","SBQQ__UpgradeTarget__c","Service_Type__c","Standard_Pricebook_Price__c","StockKeepingUnit","U_s_Occupied__c"
0f09d5d8-7f04-402d-b119-0feec4e32060,"#N/A",USD,4TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,"#N/A","#N/A",Hardware,true,false,"#N/A",4TB 7.2k RPM NLSAS,HD 4TB,60.0,60.0,"#N/A",https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4on&oid=00D41000000emZ2,"#N/A","#N/A","#N/A",false,Allow Refund,One per quote line,"#N/A","#N/A","#N/A",Quantity,One-Time,true,"#N/A","#N/A","#N/A","#N/A","#N/A",Disabled,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,Do Not Generate,false,false,false,false,true,false,false,false,Tabs,Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,Hardware,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",670.0,"#N/A","#N/A"
12328a0a-c947-42be-ae61-96fbd772839b,"#N/A",USD,"Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.","#N/A","#N/A",Hardware,true,false,"#N/A",Fixed Shelf 250lbs,BSSA-4302,100.0,100.0,"#N/A",https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ol&oid=00D41000000emZ2&lastMod=1478804179000,"#N/A","#N/A","#N/A",false,Allow Refund,One per quote line,"#N/A","#N/A","#N/A",Quantity,One-Time,true,"#N/A","#N/A","#N/A","#N/A","#N/A",Disabled,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,true,false,false,false,Tabs,Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,Hardware,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",1375.6,"#N/A",1.0
1234b623-6dc3-41ff-839c-b95e77722972,"#N/A",USD,"The PowerSlide server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.","#N/A","#N/A",Hardware,true,true,"#N/A",PowerSlide R750 Rack Server,PS-R750,100.0,100.0,"#N/A",https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pR&oid=00D41000000emZ2&lastMod=1478804180000,"#N/A","#N/A","#N/A",false,Allow Refund,One per quote line,"#N/A","#N/A","#N/A",Quantity,One-Time,false,"#N/A",Always,"#N/A","#N/A","#N/A",Allowed,"#N/A",PS-R-{1}{2}{3}{4},"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",true,false,false,false,true,false,false,false,Tabs,Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,Hardware,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2957.0,"#N/A",2.0
15819bad-bacb-4892-bd6b-9e66c54f937b,"#N/A",USD,Policy Auditor software automates security audit processes and helps you report consistently and accurately against internal and external policies.,"#N/A","#N/A",Software,true,false,"#N/A",Policy Auditor,SS-006,50.0,150.0,Client Security,0153h000001A8rh,Server Security,SaaS,"#N/A",false,Default,One per quote line,"#N/A",Annual,Advance,Quantity,Recurring,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,OnPremise,"#N/A","#N/A",Fixed Price,"#N/A",12.0,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2000.0,"#N/A","#N/A"
15fbcac6-1c60-4218-bf20-04262fbf00f3,"#N/A",USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.","#N/A","#N/A",Hardware,true,false,"#N/A",TX Bolt-Down Kit,BSSA-4304,100.0,100.0,"#N/A",https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pD&oid=00D41000000emZ2&lastMod=1478804179000,"#N/A","#N/A","#N/A",false,Allow Refund,One per quote line,"#N/A","#N/A","#N/A",Quantity,One-Time,true,"#N/A","#N/A","#N/A","#N/A","#N/A",Disabled,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,true,false,false,false,Tabs,Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,Hardware,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",41.0,"#N/A","#N/A"
16997d13-131e-46b8-a943-f11fa7e5acad,"#N/A",USD,"Intel E5-2650 v4 2.2GHz,30M Cache,9.60GT/s QPI,Turbo,HT,12C/24T (105W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","#N/A","#N/A",Hardware,true,false,"#N/A",Intel E5-2650 v4 2.2GHz,INTEL E5-2650,60.0,60.0,"#N/A",https://www.intel.com/content/dam/www/global/badges/badge-xeon-vert.png,"#N/A","#N/A","#N/A",false,Allow Refund,One per quote line,"#N/A","#N/A","#N/A",Quantity,One-Time,true,"#N/A","#N/A","#N/A","#N/A","#N/A",Disabled,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,Do Not Generate,false,false,false,false,false,false,false,false,Tabs,Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1766e31e-851c-4a88-8a72-52ce8733e5a5,"#N/A",USD,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","#N/A","#N/A",Hardware,true,false,"#N/A",Intel Xeon E5-2667 v4 3.2GHz,INTEL E5-2667,60.0,60.0,"#N/A",https://www.intel.com/content/dam/www/global/badges/badge-xeon-vert.png,"#N/A","#N/A","#N/A",false,Allow Refund,One per quote line,"#N/A","#N/A","#N/A",Quantity,One-Time,true,"#N/A","#N/A","#N/A","#N/A","#N/A",Disabled,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,Do Not Generate,false,false,false,false,true,false,false,false,Tabs,Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,Hardware,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",1533.0,"#N/A","#N/A"
1800c09a-ab62-4e5f-a11b-43f6def41978,"#N/A",USD,ePO Deep Command provides secure remote management for Intel vPro Active Management Technology (AMT) enabled PCs.,"#N/A","#N/A",Software,true,false,"#N/A",ePO Deep Command,EP-009,100.0,100.0,AntiVirus,0153h000001A8rR,Endpoint Protection,SaaS,"#N/A",false,Default,One per quote line,"#N/A",Monthly,Arrears,Quantity,Recurring,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2000.0,"#N/A","#N/A"
19227197-60c6-4294-b261-fd69eff93ce0,"#N/A",USD,"Enterprise Security Manager is a security information and event management (SIEM) solution that delivers actionable intelligence and integrations to prioritize, investigate, and respond to threats. ***Evergreen - Billed Annually***","#N/A","#N/A",Software,true,false,"#N/A",Enterprise Security Manager (Evergreen),SIEMEG-005,50.0,150.0,Threat Intelligence,0153h000001A8rt,SIEM Evergreen,SaaS,"#N/A",false,Default,One per quote line,"#N/A",Annual,Advance,Quantity,Recurring,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A",Fixed Price,"#N/A",12.0,Evergreen,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",24000.0,"#N/A","#N/A"
1b7a20e4-be5c-470d-9e10-b35f917e5d2b,"#N/A",USD,Professional Services Project w/ Individually Selected Resources.,"#N/A","#N/A",Services,true,false,"#N/A",Scoped Services Project,SRV-003,50.0,150.0,Professional Services,0153h000001A8rl,Atomic Services,Professional Service,"#N/A",false,Default,"#N/A","#N/A","#N/A","#N/A",Quantity,One-Time,false,"#N/A",Always,"#N/A","#N/A","#N/A",Required,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,true,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A","#N/A"
1ceef319-f65e-4660-8976-91719f77a0c5,"#N/A",USD,Network Security Specialist for Atomic Security Suite Deployments,"#N/A","#N/A",Services,true,false,"#N/A",Network Security Specialist,SRVR-003,50.0,150.0,Professional Services,0153h000001A8rj,Atomic Services,Professional Service,"#N/A",false,Default,"#N/A","#N/A","#N/A","#N/A",Quantity,One-Time,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",250.0,"#N/A","#N/A"
